,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,HV1,HV2,KV1,KV2,AV1,Vfdt1,Vfdt2,HR1,HR2,HR3,THR1,THR2,HR4,HR5,HR6,THR4,THR5,HR7,HR8,HR9,THR7,THR8,H1,H2,H3,H4,H5,H6,H7,TH2,TH3,TH5,TH6,H8,H9,H10,H11,H12,H13,H14,TH9,TH10,TH12,TH13,H15,H16,H17,THR15,THR16,K1,K2,K3,K4,K5,K6,K7,TK2,TK3,TK5,TK6,K8,K9,K10,TK8,TK9,K11,K12,K13,TK11,TK12,A1,A2,A3,A4,A5,A6,A7,TA2,TA3,TA5,TA6,A8,A9,A10,TA8,TA9,F4,F5,HM1,HM2,THM1,THM2,HM3,HM4,THM3,THM4,HM5,HM6,THM5,THM6,KM1,KM2,TKM1,TKM2,KM3,KM4,TKM3,TKM4,KM5,KM6,TKM5,TKM6,AM1,AM2,TAM1,TAM2,AM3,AM4,TAM3,TAM4,AM5,AM6,TAM5,TAM6
M_IZ_L332M2NAAA,62.990870,37.009130,1.262760,77.948148,0.968333,61.971235,1.304742,80.539618,0.561210,34.642593,0.465000,129.072060,0.343333,0.160000,-45.459574,76.029893,162.519068,-238.062650,-175.533708,9.582260,87.292058,20.155000,8.401000,11.754000,67.013889,18.934186,8.052333,-5.191667,13.244000,19.611005,45.659722,14.051333,-10.672667,24.724000,68.402778,56.121334,43.319667,43.629333,1.749333,8.025667,44.538667,8.025667,42.888333,1.041667,53.356775,100.000000,62.990870,-9.703333,8.914000,-10.105333,-8.166333,-6.658000,-11.603333,20.960667,22.727193,1.215278,81.421849,80.208333,8.325667,-6.538667,14.864333,74.572582,30.455090,6.069333,44.385000,5.629000,45.840667,66.851667,8.932667,62.422667,62.474443,0.694444,73.323816,99.479167,12.305000,-5.754333,18.059333,82.606282,50.089009,-10.932667,-22.881333,11.948667,51.086612,4.305027,3.802333,15.028000,-19.591667,-19.559667,9.210667,-22.357667,37.385667,46.460801,62.474443,92.018295,67.803511,44.971667,-14.482667,59.454333,65.277778,74.842252,143.953333,-107.116667,1.259333,-0.613667,5.810244,60.770939,0.643667,-0.252667,32.785180,49.799951,0.129333,-0.075000,59.069198,69.535216,0.370000,-0.540667,36.465384,3.102968,0.339000,-0.123333,42.854625,55.215384,0.106333,-0.019333,50.249401,24.977968,1.065333,-0.270000,50.249401,5.680697,0.785000,-0.028667,48.700120,87.930943,0.086000,-0.858667,5.507085,50.609842
M_IZ_L338M1NAAA,69.815862,30.184138,0.720847,41.667437,1.243333,48.275457,0.580036,33.528091,0.382770,22.125434,0.633333,94.746063,0.376667,0.233333,-14.205536,40.332128,84.799875,-170.415018,-25.810203,22.176148,-0.569917,19.073000,14.483667,4.589333,64.687400,25.070183,1.680333,-3.325333,5.005667,11.666569,51.088209,2.004000,-6.732667,8.736667,33.812886,67.286203,39.835333,40.022667,14.844000,26.990667,43.498333,26.990667,28.654333,1.185771,56.552088,88.460245,69.815862,-5.797000,0.622000,-5.874333,-4.170667,-4.170667,-5.876000,6.931667,40.628765,1.095940,69.815862,85.979665,-9.073000,-19.845000,10.772000,30.765714,99.459963,13.731333,43.501000,10.264000,44.645000,59.257000,15.037000,48.993000,69.413566,51.702687,79.350129,99.601594,0.057000,-8.493333,8.550333,47.426416,66.329365,7.298667,-14.728667,22.027333,8.579957,76.125776,8.318000,14.648333,-2.314333,-2.825333,8.417333,-3.887667,18.536000,58.303950,26.426835,97.168805,81.578799,31.588000,-7.947333,39.535333,82.419132,77.077986,83.766667,-76.950000,0.512667,-0.467667,8.170623,79.930488,0.824333,-0.203333,22.243497,80.863681,0.158000,-0.053667,19.185469,80.600177,0.671000,-0.227000,15.226601,65.212142,0.380333,-0.110000,22.105756,80.863681,0.017333,-0.011667,52.920501,39.018510,0.231667,-0.137000,54.432504,8.802591,0.034333,-0.043000,51.387264,55.367773,0.046667,-0.092667,9.377510,57.403540
M_IZ_L350M1NAAA,74.294773,25.705227,1.046067,57.162113,1.746667,34.691593,0.608458,33.249098,0.559067,30.550091,0.780000,77.854668,0.455000,0.511667,-70.479954,76.451622,133.950862,-66.187945,-17.994926,-0.046699,47.308227,36.028000,20.101333,15.926667,29.359074,57.151445,4.227667,-8.693667,12.921333,54.327181,4.353715,15.205667,-3.894000,19.099667,38.089148,76.506251,54.173333,54.300667,5.043667,27.437667,56.734667,27.437667,51.691000,4.020382,58.171311,97.211598,74.294773,-14.906000,5.117667,-16.399333,-5.535667,-5.234667,-10.395333,21.517000,57.590637,4.044118,79.145134,90.333115,-14.548000,-37.077667,22.529667,61.198281,24.228209,31.245333,49.929667,0.870000,50.440333,53.755000,29.747000,52.885000,74.005676,44.499286,78.040843,99.896801,3.611333,-23.123333,26.734667,41.812813,82.614472,6.472333,-7.169000,13.641333,21.671450,59.630368,3.468333,12.444333,-4.416000,-0.276000,18.139333,-0.407000,23.696000,43.876756,55.618481,92.697567,74.602465,44.584333,-40.003333,84.587667,75.231206,43.625069,59.606667,-37.143333,0.639333,-0.634667,2.474359,55.239978,0.770667,-0.346667,39.919247,73.224081,0.064333,-0.101000,66.237179,52.636779,0.227667,-0.519333,49.346610,37.028161,0.607333,-0.160000,41.105779,5.033837,0.123333,-0.017333,48.707291,6.317159,1.083667,-0.036333,43.433337,63.801282,0.412333,-0.063333,45.946614,11.329622,0.546667,-0.661000,21.093653,49.801540
M_IZ_L351M1NAAA,73.657185,26.342815,0.487797,27.404307,1.051667,57.595514,0.474163,26.638346,0.207537,11.659363,0.560000,110.110110,0.213333,0.278333,-31.140054,23.252578,88.909203,-99.901773,-87.205534,-2.343485,67.284390,29.187000,26.393000,2.794000,63.372239,41.745373,0.985000,-2.114667,3.099667,25.631008,69.768708,0.252000,-8.329333,8.581333,29.882562,76.478387,49.223667,50.450333,39.069667,49.912000,50.034667,46.723667,11.490333,52.314340,49.530016,75.194116,91.028216,0.517333,3.079000,-2.612000,-2.674667,0.968667,-2.733667,5.812667,40.045724,73.177222,98.693307,75.917923,15.681333,-1.072667,16.754000,32.063381,32.640198,36.659333,55.254667,23.517667,55.389667,55.623000,25.345667,32.105333,73.177222,19.546915,75.002108,100.000000,2.600667,-4.775333,7.376000,89.906314,45.225674,-9.981667,-28.529333,18.547667,25.357285,30.689051,2.688333,14.770333,-12.842333,-11.848333,6.011000,-11.848333,27.612667,41.457186,71.722631,96.461976,73.657185,28.178000,1.185333,26.992667,82.988877,78.390155,35.836667,-105.500000,1.006000,-0.328333,20.580676,86.205107,0.758667,-0.117667,30.634170,0.502508,0.099333,-0.043000,28.415819,19.770445,0.432333,-0.129000,24.235230,6.655016,0.112333,-0.127333,22.150576,39.459945,0.027000,-0.021000,57.015753,25.646940,0.942333,-0.044667,39.568079,89.710977,0.226667,-0.023000,45.595234,63.500899,0.014667,-0.299000,91.110949,46.164398
M_IZ_L356M1NAAA,66.600335,33.399665,0.800827,67.885728,0.993333,60.877207,0.812204,68.852173,0.385337,32.664932,0.470000,128.349179,0.375000,0.148333,-95.794344,123.224741,188.179027,-177.580846,-168.734161,7.592431,36.062429,33.311000,28.299000,5.012000,47.113594,40.620423,1.898333,-9.837000,11.735333,18.310253,77.236231,7.522667,-5.594000,13.116667,31.644593,54.973435,62.981333,63.718000,15.059667,22.980333,64.262667,22.980333,50.168333,2.051282,57.805124,95.807539,66.600335,-13.011333,-2.921667,-22.793667,-23.289000,-13.745667,-24.852667,21.931000,14.537154,66.093025,91.447507,69.503814,-9.451667,-27.544667,18.093000,11.932362,63.495717,23.744333,42.535000,17.626333,44.260000,65.353333,24.449333,48.202000,66.093025,52.083971,77.620775,99.207669,7.026667,-13.724667,20.751333,66.970348,75.035160,9.955667,-5.321333,15.277000,59.958213,94.995503,-6.042333,14.921333,-12.963333,-12.949667,8.124333,-12.981333,28.095333,41.953410,66.093025,88.362066,66.786554,25.981667,-21.243000,47.224667,59.029038,53.424327,50.296667,-34.896667,0.610333,-0.306667,4.818639,75.752035,0.524000,-0.294000,15.301210,63.509023,0.114333,-0.101667,12.916423,68.470017,0.383333,-0.215333,14.069811,67.166492,0.369667,-0.140333,49.237351,68.128137,0.104667,-0.013000,50.987442,27.494835,0.796000,-0.022000,46.380072,61.088760,0.221000,-0.085333,55.019622,28.599377,0.070000,-0.329000,29.178013,54.869472
M_IZ_L357M1NAAA,68.263874,31.736126,1.334787,85.563248,1.240000,48.681547,1.085714,69.597045,0.664083,42.569444,0.580000,103.783508,0.376667,0.283333,-72.894656,90.638705,158.344605,-135.304124,-137.208156,-14.569819,89.041015,27.706667,21.812333,5.894333,36.721907,56.880498,10.473333,1.765333,8.708000,53.125902,65.041842,11.941667,-8.567333,20.509000,38.413992,24.477245,48.921333,49.388333,5.689667,14.657333,51.647000,14.657333,46.247000,3.198032,57.723598,94.894604,68.263874,-1.169667,6.788000,-2.983333,0.550667,0.562333,-6.571000,13.498667,52.907060,25.805412,69.056220,96.975355,-4.001667,-33.351333,29.349667,71.422527,35.988220,20.889667,46.900000,10.050333,47.854333,53.906333,9.549667,45.198000,67.858195,48.261820,73.333807,100.000000,-2.792333,-14.172667,11.380333,44.946230,49.902710,32.640667,11.482000,21.158667,81.874361,63.982659,16.134000,22.236333,-10.714667,-11.000000,25.482667,-12.026333,40.332667,26.215806,67.858195,92.458542,68.963100,38.360000,-2.717000,41.077000,96.726190,73.271341,107.696667,-43.663333,0.817667,-0.742667,6.046550,59.200982,0.494000,-0.484667,27.115621,70.808125,0.081333,-0.086333,82.068445,54.253839,0.596333,-0.295000,28.212909,76.014809,0.214000,-0.196333,42.002208,5.062541,0.062000,-0.022667,35.490076,72.279220,1.088667,-0.088000,52.909781,25.281558,0.442000,-0.028000,37.049020,75.015238,0.034667,-0.616667,23.558990,45.929009
